utterance_id,model,reference_length_tokens,rigid_errors,rigid_substitutions,rigid_deletions,rigid_insertions,rigid_wer_percent,lattice_errors,lattice_wer_percent,delta_wer_percent,improved,unchanged,worsened
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav,Model m,45,5,3,2,0,11.11111111111111,0.0,0.0,11.11111111111111,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav,Model n,45,4,2,2,0,8.88888888888889,0.0,0.0,8.88888888888889,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_82714_160.47_173.70.wav,Model H,45,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_82714_160.47_173.70.wav,Model i,45,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_82714_160.47_173.70.wav,Model k,45,4,2,1,1,8.88888888888889,1.0,2.2222222222222223,6.666666666666667,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_82714_160.47_173.70.wav,Model l,45,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_82714_160.47_173.70.wav,Model m,45,7,4,3,0,15.555555555555555,3.0,6.666666666666667,8.88888888888889,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_82714_160.47_173.70.wav,Model n,45,4,3,1,0,8.88888888888889,1.0,2.2222222222222223,6.666666666666667,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav,Model H,12,1,0,0,1,8.333333333333332,0.0,0.0,8.333333333333332,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav,Model i,12,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav,Model k,12,2,1,0,1,16.666666666666664,0.0,0.0,16.666666666666664,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav,Model l,12,2,1,0,1,16.666666666666664,0.0,0.0,16.666666666666664,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav,Model m,12,2,2,0,0,16.666666666666664,0.0,0.0,16.666666666666664,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav,Model n,12,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_251777_833.22_842.58.wav,Model H,23,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_251777_833.22_842.58.wav,Model i,23,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_251777_833.22_842.58.wav,Model k,23,6,5,1,0,26.08695652173913,1.0,4.3478260869565215,21.73913043478261,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_251777_833.22_842.58.wav,Model l,23,3,2,1,0,13.043478260869565,1.0,4.3478260869565215,8.695652173913043,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_251777_833.22_842.58.wav,Model m,23,5,4,1,0,21.73913043478261,1.0,4.3478260869565215,17.391304347826086,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_251777_833.22_842.58.wav,Model n,23,3,3,0,0,13.043478260869565,0.0,0.0,13.043478260869565,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_29151_299.07_312.81.wav,Model H,41,1,0,1,0,2.4390243902439024,1.0,2.4390243902439024,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_29151_299.07_312.81.wav,Model i,41,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_29151_299.07_312.81.wav,Model k,41,2,2,0,0,4.878048780487805,0.0,0.0,4.878048780487805,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_29151_299.07_312.81.wav,Model l,41,2,2,0,0,4.878048780487805,0.0,0.0,4.878048780487805,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_29151_299.07_312.81.wav,Model m,41,7,5,2,0,17.073170731707318,2.0,4.878048780487805,12.195121951219514,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_29151_299.07_312.81.wav,Model n,41,9,8,1,0,21.951219512195124,1.0,2.4390243902439024,19.51219512195122,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_701191_638.49_652.05.wav,Model H,40,1,1,0,0,2.5,0.0,0.0,2.5,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_701191_638.49_652.05.wav,Model i,40,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_701191_638.49_652.05.wav,Model k,40,3,3,0,0,7.5,0.0,0.0,7.5,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_701191_638.49_652.05.wav,Model l,40,2,2,0,0,5.0,0.0,0.0,5.0,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_701191_638.49_652.05.wav,Model m,40,10,7,3,0,25.0,3.0,7.5,17.5,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_701191_638.49_652.05.wav,Model n,40,8,7,1,0,20.0,1.0,2.5,17.5,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1545383_331.02_336.06.wav,Model H,17,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1545383_331.02_336.06.wav,Model i,17,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1545383_331.02_336.06.wav,Model k,17,1,1,0,0,5.88235294117647,0.0,0.0,5.88235294117647,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1545383_331.02_336.06.wav,Model l,17,1,1,0,0,5.88235294117647,0.0,0.0,5.88235294117647,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1545383_331.02_336.06.wav,Model m,17,4,4,0,0,23.52941176470588,0.0,0.0,23.52941176470588,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1545383_331.02_336.06.wav,Model n,17,4,4,0,0,23.52941176470588,0.0,0.0,23.52941176470588,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1605071_277.98_280.86.wav,Model H,17,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1605071_277.98_280.86.wav,Model i,17,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1605071_277.98_280.86.wav,Model k,17,1,1,0,0,5.88235294117647,0.0,0.0,5.88235294117647,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1605071_277.98_280.86.wav,Model l,17,2,1,1,0,11.76470588235294,1.0,5.88235294117647,5.88235294117647,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1605071_277.98_280.86.wav,Model m,17,1,1,0,0,5.88235294117647,0.0,0.0,5.88235294117647,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1605071_277.98_280.86.wav,Model n,17,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1645639_304.05_310.53.wav,Model H,18,1,0,1,0,5.555555555555555,1.0,5.555555555555555,0.0,0,1,0
